data,regiao,id_cliente,nome_cliente,produto,categoria,valor,renda_mensal
2024-01-01,Sudeste,43,Cliente 043,Produto_11,Higiene,162.63,3037.79
2024-01-01,Sul,75,Cliente 075,Produto_05,Alimentos,170.17,1149.31
2024-01-01,Centro-Oeste,118,Cliente 118,Produto_08,Alimentos,202.7,3505.88
2024-01-01,Centro-Oeste,110,Cliente 110,Produto_05,Alimentos,176.36,3461.7
2024-01-01,Centro-Oeste,55,Cliente 055,Produto_04,Bebidas,233.1,4868.09
2024-01-01,Norte,34,Cliente 034,Produto_05,Alimentos,215.04,2635.14
2024-01-01,Sudeste,15,Cliente 015,Produto_09,Higiene,61.88,638.77
2024-01-01,Sudeste,59,Cliente 059,Produto_02,Bebidas,71.04,2353.65
2024-01-01,Nordeste,68,Cliente 068,Produto_03,Bebidas,54.32,4153.22
2024-01-01,Norte,19,Cliente 019,Produto_03,Bebidas,132.56,3032.65
2024-01-01,Sul,48,Cliente 048,Produto_08,Alimentos,39.71,2977.27
2024-01-01,Nordeste,98,Cliente 098,Produto_10,Higiene,137.13,1257.91
2024-01-01,Nordeste,117,Cliente 117,Produto_13,Limpeza,105.76,1040.31
2024-01-01,Norte,105,Cliente 105,Produto_12,Limpeza,125.62,4731.94
2024-01-01,Centro-Oeste,9,Cliente 009,Produto_02,Bebidas,110.66,2692.74
2024-01-01,Sudeste,23,Cliente 023,Produto_07,Alimentos,242.92,2618.46
2024-01-01,Nordeste,74,Cliente 074,Produto_09,Higiene,110.46,780.38
2024-01-01,Sul,5,Cliente 005,Produto_06,Alimentos,158.75,1238.45
2024-01-01,Centro-Oeste,118,Cliente 118,Produto_07,Alimentos,122.5,3505.88
2024-01-01,Sul,75,Cliente 075,Produto_12,Limpeza,65.2,1149.31
2024-01-01,Centro-Oeste,93,Cliente 093,Produto_03,Bebidas,183.27,4060.47
2024-01-01,Sul,10,Cliente 010,Produto_12,Limpeza,132.15,4884.02
2024-01-01,Nordeste,65,Cliente 065,Produto_08,Alimentos,67.0,946.78
2024-01-01,Norte,115,Cliente 115,Produto_07,Alimentos,125.87,6458.49
2024-01-01,Norte,111,Cliente 111,Produto_11,Higiene,44.47,4320.1
2024-01-01,Sudeste,17,Cliente 017,Produto_11,Higiene,191.71,2200.5
2024-01-01,Sudeste,11,Cliente 011,Produto_03,Bebidas,183.18,1372.03
2024-01-01,Norte,86,Cliente 086,Produto_05,Alimentos,181.55,1282.2
2024-01-01,Sul,97,Cliente 097,Produto_07,Alimentos,73.32,2878.73
2024-01-01,Nordeste,21,Cliente 021,Produto_05,Alimentos,156.49,321.16
2024-01-01,Sul,4,Cliente 004,Produto_08,Alimentos,91.43,3257.27
2024-01-01,Nordeste,58,Cliente 058,Produto_01,Bebidas,22.67,1306.03
2024-01-01,Sudeste,79,Cliente 079,Produto_10,Higiene,63.0,5238.49
2024-01-01,Centro-Oeste,112,Cliente 112,Produto_06,Alimentos,104.25,994.71
2024-01-01,Nordeste,65,Cliente 065,Produto_12,Limpeza,81.89,946.78
2024-01-01,Sudeste,103,Cliente 103,Produto_05,Alimentos,93.92,1436.25
2024-01-01,Centro-Oeste,7,Cliente 007,Produto_03,Bebidas,261.85,4724.66
2024-01-01,Norte,87,Cliente 087,Produto_09,Higiene,14.94,2068.87
2024-01-01,Centro-Oeste,26,Cliente 026,Produto_09,Higiene,214.1,3130.59
2024-01-01,Sul,38,Cliente 038,Produto_12,Limpeza,131.41,1926.75
2024-01-01,Centro-Oeste,112,Cliente 112,Produto_03,Bebidas,56.84,994.71
2024-01-01,Norte,85,Cliente 085,Produto_13,Limpeza,116.11,3985.46
2024-01-02,Centro-Oeste,109,Cliente 109,Produto_05,Alimentos,87.22,1364.75
2024-01-02,Sul,38,Cliente 038,Produto_03,Bebidas,109.26,1926.75
2024-01-02,Sudeste,59,Cliente 059,Produto_14,Limpeza,112.56,2353.65
2024-01-02,Centro-Oeste,9,Cliente 009,Produto_08,Alimentos,92.18,2692.74
2024-01-02,Norte,71,Cliente 071,Produto_02,Bebidas,75.22,1192.59
2024-01-02,Nordeste,68,Cliente 068,Produto_13,Limpeza,236.68,4153.22
2024-01-02,Sul,22,Cliente 022,Produto_13,Limpeza,80.23,2449.01
2024-01-02,Sul,81,Cliente 081,Produto_03,Bebidas,185.06,3635.87
2024-01-02,Sudeste,23,Cliente 023,Produto_11,Higiene,150.78,2618.46
2024-01-02,Nordeste,74,Cliente 074,Produto_08,Alimentos,53.85,780.38
2024-01-02,Sul,54,Cliente 054,Produto_09,Higiene,132.35,4354.92
2024-01-02,Nordeste,21,Cliente 021,Produto_05,Alimentos,152.18,321.16
2024-01-02,Nordeste,49,Cliente 049,Produto_04,Bebidas,61.05,3111.56
2024-01-02,Sudeste,52,Cliente 052,Produto_13,Limpeza,164.52,3534.41
2024-01-02,Sudeste,29,Cliente 029,Produto_03,Bebidas,134.44,6319.21
2024-01-02,Sudeste,30,Cliente 030,Produto_06,Alimentos,128.17,649.37
2024-01-02,Sudeste,78,Cliente 078,Produto_11,Higiene,90.59,875.58
2024-01-02,Nordeste,60,Cliente 060,Produto_12,Limpeza,83.98,3220.54
2024-01-02,Norte,111,Cliente 111,Produto_04,Bebidas,37.29,4320.1
2024-01-02,Norte,42,Cliente 042,Produto_09,Higiene,191.34,2874.86
2024-01-02,Norte,102,Cliente 102,Produto_07,Alimentos,58.68,1688.45
2024-01-02,Norte,92,Cliente 092,Produto_12,Limpeza,142.67,1354.9
2024-01-02,Sudeste,57,Cliente 057,Produto_03,Bebidas,196.81,2054.28
2024-01-02,Sul,54,Cliente 054,Produto_13,Limpeza,113.2,4354.92
2024-01-02,Norte,71,Cliente 071,Produto_11,Higiene,108.33,1192.59
2024-01-02,Norte,71,Cliente 071,Produto_13,Limpeza,148.47,1192.59
2024-01-02,Sudeste,78,Cliente 078,Produto_12,Limpeza,227.52,875.58
2024-01-02,Sudeste,69,Cliente 069,Produto_12,Limpeza,153.91,3532.96
2024-01-02,Centro-Oeste,110,Cliente 110,Produto_02,Bebidas,186.52,3461.7
2024-01-02,Centro-Oeste,118,Cliente 118,Produto_05,Alimentos,161.0,3505.88
2024-01-02,Sul,13,Cliente 013,Produto_11,Higiene,156.94,3118.4
2024-01-02,Sudeste,108,Cliente 108,Produto_11,Higiene,188.52,5843.4
2024-01-02,Sudeste,103,Cliente 103,Produto_06,Alimentos,136.56,1436.25
2024-01-02,Norte,92,Cliente 092,Produto_12,Limpeza,79.68,1354.9
2024-01-03,Nordeste,44,Cliente 044,Produto_12,Limpeza,183.07,4340.18
2024-01-03,Nordeste,104,Cliente 104,Produto_05,Alimentos,218.37,766.96
2024-01-03,Sul,97,Cliente 097,Produto_11,Higiene,89.59,2878.73
2024-01-03,Nordeste,6,Cliente 006,Produto_09,Higiene,55.06,1648.8
2024-01-03,Sudeste,62,Cliente 062,Produto_08,Alimentos,198.08,6503.29
2024-01-03,Norte,71,Cliente 071,Produto_07,Alimentos,172.63,1192.59
2024-01-03,Norte,71,Cliente 071,Produto_12,Limpeza,80.46,1192.59
2024-01-03,Sudeste,20,Cliente 020,Produto_12,Limpeza,120.3,2358.59
2024-01-03,Sul,22,Cliente 022,Produto_01,Bebidas,187.48,2449.01
2024-01-03,Centro-Oeste,110,Cliente 110,Produto_02,Bebidas,161.06,3461.7
2024-01-03,Norte,115,Cliente 115,Produto_04,Bebidas,188.27,6458.49
2024-01-03,Nordeste,65,Cliente 065,Produto_05,Alimentos,44.79,946.78
2024-01-03,Nordeste,47,Cliente 047,Produto_14,Limpeza,33.44,1400.82
2024-01-03,Norte,102,Cliente 102,Produto_08,Alimentos,141.87,1688.45
2024-01-03,Sudeste,69,Cliente 069,Produto_09,Higiene,133.88,3532.96
2024-01-03,Norte,115,Cliente 115,Produto_10,Higiene,39.2,6458.49
2024-01-03,Sul,73,Cliente 073,Produto_01,Bebidas,69.26,2937.93
2024-01-03,Centro-Oeste,37,Cliente 037,Produto_10,Higiene,108.19,1269.3
2024-01-03,Sudeste,23,Cliente 023,Produto_07,Alimentos,82.48,2618.46
2024-01-03,Sul,13,Cliente 013,Produto_12,Limpeza,95.53,3118.4
2024-01-03,Sudeste,80,Cliente 080,Produto_07,Alimentos,119.25,5146.29
2024-01-03,Centro-Oeste,55,Cliente 055,Produto_12,Limpeza,115.67,4868.09
2024-01-03,Sudeste,62,Cliente 062,Produto_04,Bebidas,42.62,6503.29
2024-01-03,Sul,75,Cliente 075,Produto_13,Limpeza,79.26,1149.31
2024-01-03,Sul,63,Cliente 063,Produto_10,Higiene,63.11,3917.87
2024-01-03,Nordeste,60,Cliente 060,Produto_05,Alimentos,215.83,3220.54
2024-01-03,Centro-Oeste,91,Cliente 091,Produto_09,Higiene,74.32,5257.22
2024-01-03,Norte,71,Cliente 071,Produto_14,Limpeza,193.4,1192.59
2024-01-03,Sul,97,Cliente 097,Produto_06,Alimentos,192.27,2878.73
2024-01-03,Norte,71,Cliente 071,Produto_07,Alimentos,5.0,1192.59
2024-01-03,Nordeste,67,Cliente 067,Produto_06,Alimentos,148.85,2091.75
2024-01-03,Sudeste,108,Cliente 108,Produto_10,Higiene,94.91,5843.4
2024-01-03,Centro-Oeste,90,Cliente 090,Produto_03,Bebidas,100.75,1692.94
2024-01-03,Centro-Oeste,109,Cliente 109,Produto_06,Alimentos,82.94,1364.75
2024-01-03,Sudeste,79,Cliente 079,Produto_08,Alimentos,124.55,5238.49
2024-01-03,Sul,97,Cliente 097,Produto_03,Bebidas,39.9,2878.73
2024-01-03,Sudeste,103,Cliente 103,Produto_07,Alimentos,119.6,1436.25
2024-01-04,Sudeste,70,Cliente 070,Produto_05,Alimentos,234.5,2361.6
2024-01-04,Nordeste,40,Cliente 040,Produto_04,Bebidas,139.7,793.71
2024-01-04,Sudeste,41,Cliente 041,Produto_05,Alimentos,180.93,500.37
2024-01-04,Sudeste,103,Cliente 103,Produto_06,Alimentos,67.16,1436.25
2024-01-04,Sudeste,89,Cliente 089,Produto_11,Higiene,190.02,347.23
2024-01-04,Sudeste,51,Cliente 051,Produto_01,Bebidas,115.55,8133.11
2024-01-04,Nordeste,120,Cliente 120,Produto_07,Alimentos,117.82,1825.61
2024-01-04,Centro-Oeste,90,Cliente 090,Produto_05,Alimentos,31.11,1692.94
2024-01-04,Sul,106,Cliente 106,Produto_02,Bebidas,138.42,9272.59
2024-01-04,Centro-Oeste,90,Cliente 090,Produto_13,Limpeza,173.63,1692.94
2024-01-04,Sul,18,Cliente 018,Produto_03,Bebidas,158.02,3366.91
2024-01-04,Sudeste,32,Cliente 032,Produto_05,Alimentos,169.55,1555.9
2024-01-04,Centro-Oeste,3,Cliente 003,Produto_13,Limpeza,71.94,2098.28
2024-01-04,Centro-Oeste,109,Cliente 109,Produto_11,Higiene,81.54,1364.75
2024-01-04,Sul,63,Cliente 063,Produto_01,Bebidas,75.99,3917.87
2024-01-04,Centro-Oeste,37,Cliente 037,Produto_05,Alimentos,181.41,1269.3
2024-01-04,Centro-Oeste,31,Cliente 031,Produto_04,Bebidas,21.44,1030.59
2024-01-04,Centro-Oeste,107,Cliente 107,Produto_04,Bebidas,204.53,5079.71
2024-01-04,Sudeste,69,Cliente 069,Produto_03,Bebidas,220.77,3532.96
2024-01-04,Norte,46,Cliente 046,Produto_14,Limpeza,181.45,3120.34
2024-01-04,Nordeste,74,Cliente 074,Produto_02,Bebidas,87.19,780.38
2024-01-04,Norte,100,Cliente 100,Produto_09,Higiene,36.87,3610.95
2024-01-04,Nordeste,68,Cliente 068,Produto_09,Higiene,86.45,4153.22
2024-01-04,Sul,113,Cliente 113,Produto_03,Bebidas,158.42,7180.73
2024-01-04,Sul,22,Cliente 022,Produto_04,Bebidas,123.63,2449.01
2024-01-04,Centro-Oeste,93,Cliente 093,Produto_02,Bebidas,102.04,4060.47
2024-01-04,Nordeste,65,Cliente 065,Produto_05,Alimentos,34.51,946.78
2024-01-04,Centro-Oeste,96,Cliente 096,Produto_13,Limpeza,131.78,271.52
2024-01-04,Centro-Oeste,37,Cliente 037,Produto_02,Bebidas,217.38,1269.3
2024-01-04,Nordeste,74,Cliente 074,Produto_14,Limpeza,129.27,780.38
2024-01-04,Sudeste,23,Cliente 023,Produto_06,Alimentos,163.11,2618.46
2024-01-04,Sudeste,59,Cliente 059,Produto_03,Bebidas,96.72,2353.65
2024-01-04,Norte,25,Cliente 025,Produto_11,Higiene,106.47,2145.69
2024-01-04,Nordeste,74,Cliente 074,Produto_10,Higiene,95.73,780.38
2024-01-04,Norte,71,Cliente 071,Produto_12,Limpeza,5.0,1192.59
2024-01-05,Sudeste,33,Cliente 033,Produto_02,Bebidas,45.36,538.98
2024-01-05,Norte,82,Cliente 082,Produto_01,Bebidas,125.14,3632.77
2024-01-05,Sul,38,Cliente 038,Produto_10,Higiene,125.27,1926.75
